a_id_,ClusterID,val_FC021PPPC,val_FC022PPPC,val_FC02PPPC,val_FC031PPPC,val_FC03PPPC,val_FC041PPPC,val_FC043PPPC,val_FC045PPPC,val_FC055PPPC,val_FC082PPPC,val_FC083PPPC,val_FC08PPPC,val_FC091PPPC,val_FC092PPPC,val_FC093PPPC,val_FC094PPPC,val_FC09PPPC,val_FC10PPPC,val_FC111PPPC,val_FC112PPPC,val_FC11PPPC,val_FC124PPPC,val_FC127PPPC,val_PEDY002_005PPPC_,val_PEDY005_007PPPC_,val_PEDY007_010PPPC_,val_PEDY020_035PPPC_,val_PEDY035_070PPPC_,val_PEDY070_100PPPC_,val_PEDY100_150PPPC_,val_PEDY150_200PPPC_,val_PEDY200_250PPPC_,val_PEDY250PPPC_
Oman_Oman - Total,6,-1.1209422958044912,-1.1483897207820142,-1.4232343835765993,-0.10657936255167764,-0.2790261069877978,1.6855569874335563,1.473129630788386,0.9399515224229283,-0.2557624744395538,0.8478734367541639,1.0500646931770279,1.2065079635630418,-0.7922238525724556,-0.1343503468693121,-0.5652949653337223,-0.36621951028329863,-0.806074108600747,0.8453018395793634,-0.6912278973881228,-0.345016382284684,-0.672695183607863,0.23481391772994925,-0.0913460686446894,-0.6065024455083788,-0.8568176098016692,-1.0226190570820504,-1.7092003997415235,-0.8132413750212788,1.0981041301583048,2.998739769161527,4.13310930905232,4.263750935289583,2.680999746199792
Pakistan_Pakistan - Total,3,-0.732004535564336,-0.625019869554987,-0.8888437326840845,0.49386704063301,0.6435344810009337,1.1577874421832823,0.5053732591493993,1.2525201157690224,-1.1442274195187636,-0.468630396707177,-0.6904521976824154,-0.7513498277202966,-0.9823098131906992,-0.2452912983341047,-0.9806948047008457,-0.8864052131160566,-1.2037432793426641,0.27075066569189493,0.37046665460511674,0.051626958303399036,0.327947125402252,-0.3556216303557331,-0.30255763451717305,-0.5705511068316931,-0.5836047749041585,-0.31251968941391284,1.5189707287488026,0.5450881742681598,-0.38793687125329446,-0.604321669139045,-0.5412426857479951,-0.4399491707296374,-0.2742933506115109
Panama_Panama - Total,3,-0.7330635567567907,-0.514539059019176,-0.8456303234165335,-0.801499039211531,-0.732570093282106,0.7227661043102189,0.16114582409200257,0.04025998122980423,-0.35253560278824075,-0.17682697814703294,0.629995585250071,0.5553902923911245,0.5740328916779934,-0.01727376526773985,0.5420556691454274,0.4896552489534417,0.8208489845454167,0.5209447646814239,-0.36247358832538107,-0.44708222099299294,-0.4178277996441006,-0.35030232475033085,1.5868472124523478,-0.5698439445564237,-0.6739560511774185,-0.6239168998600139,0.27295423846198025,0.6363038244711613,0.6185392259744237,0.50153315967149,0.28651943424115406,0.12960690250262977,-0.06935194892257604
Papua New Guinea_Papua New Guinea - Total,3,0.26457688347063446,0.9764291225191422,0.5843861022015941,-0.3157963050416356,-0.19803627159632067,-0.13390136611388895,-0.4556393002835744,-0.24208917390774307,-1.1757798960761798,-0.398943841919535,-0.6236599729678939,-0.6704621323750832,-0.6703961486133106,-0.02780306095285665,-0.8398841721982939,-0.7444996480569553,-0.9326533664008204,0.01879024185421877,1.2056621962651446,0.532611455376171,1.1564238081690466,-0.43808204896451836,-0.4714882681654862,1.065464171776975,1.3908152914819272,1.2633228883904326,-0.512779612912616,-1.1776759115952626,-1.0854805780815975,-0.8743820776064044,-0.6115519603708991,-0.4626521961742084,-0.27812632945916127
Paraguay_Paraguay - Total,3,-0.7650571881260553,-0.641775190398713,-0.9231925753300151,-0.4109937316732619,-0.2832428086853081,-0.3001291394372777,-0.5820408071380918,-0.42229316583429444,-0.38006763704201957,0.01685982581753088,0.6258931803278398,0.6174574853423063,1.2907706711885407,1.302356234063746,0.0387522153027439,0.151892055810926,0.7279896139686923,1.0497688636209068,0.07311026634762645,-0.10335365240535867,0.03695952366329964,-0.22421744630285934,0.05124331389601837,-0.4112147358151354,-0.272843470971521,-0.07463703002954455,0.49089321704180683,0.26762144658238746,0.09032472604716749,0.03491489703101022,-0.02214834602150053,-0.06725264543959301,-0.12800950937576305
Peru_Peru - Total,3,-0.9868873988726304,-0.8737176408275199,-1.1984477373043696,-0.8792142528898196,-0.8089412623128174,-0.6390171756133063,-0.8430294323911907,-1.1156101501599154,-0.7655114902979928,-0.2606655797064677,0.2535493362763683,0.18848741085248724,0.0005809189099298671,-0.18244132617927308,0.16744234116312087,0.11456240711206413,0.22536431758561962,2.9816307609495305,1.1805112678503156,0.21668929891995609,1.0577775066979858,-0.534115531378102,-0.14659259521606155,-0.5574589854807809,-0.576185948464211,-0.38505035280626343,0.9855656987397884,0.6196114329743332,0.009485072553149072,-0.2509222444537871,-0.31170535665267535,-0.27796225323052126,-0.2214498487724355
Philippines_Philippines - Total,3,-0.6576207918515339,-0.41261106701898825,-0.7418113882685519,-1.451718623320522,-1.3759415371652672,0.9536740125288432,-1.1083955161016559,-0.2848438522886959,-0.974856511200707,-0.29169936564633375,-0.2541986835008953,-0.2603432328439463,0.0025224216496295823,-0.8004169898358413,-0.8864585232338571,-0.9436620643417458,-0.91765346206585,1.3370809655288403,1.5911151613202785,0.6633811101650987,1.5164760668681447,0.22973316503898558,1.3563726578102513,-0.45803866894758805,-0.22358250200183413,0.1697202346506092,1.17210365114166,0.21909482353892348,-0.41244929744443226,-0.5412587872490309,-0.4827958011511031,-0.40708842086433766,-0.2681134929327322
Poland_Poland - Total,3,0.4087231754191026,0.8021951858742233,0.6354732713556461,-0.029167201963553713,-0.11377415837959465,-1.319557077237057,3.3052076364994223,0.9904010276116504,-0.7015236093913043,-0.5757046723669965,-0.7443411426609561,-0.8448940093383666,0.255090600757423,0.00863562406666493,0.17557623065028377,1.5024024174071844,1.3607431648196824,-0.8835825256576462,-0.7920413948948642,-0.244240282861033,-0.7338645854858662,-0.32898762946829563,1.6186140057443543,-0.6061892438359058,-0.8487515243918757,-0.9758104454545449,0.26030356461136944,1.3570576177741918,0.7265146182968,0.033879725966715665,-0.3146261838074887,-0.36328360608416355,-0.26746841013453715
Portugal_Portugal - Total,3,-0.5157411961412744,0.3455757728380139,-0.283934785663174,0.12902207582915806,0.012616829763801228,-0.807505073951293,-1.4070340722854928,-0.898579596296725,-0.37816401814560074,-0.6210178403522122,-0.7177022208914828,-0.7953416208768639,-0.7614185744741154,0.604716210412904,-0.0011711632095035846,0.5533204277837254,-0.009622578776840513,-0.6393834327686606,1.0159343619407475,2.943179442474514,1.5842898664777691,1.7640867304633916,0.027983369644654716,-0.6053947551381084,-0.8393367752019907,-0.9470025995520819,0.07581126371038034,1.1371084148821118,0.9535096778794829,0.4412871813484522,-0.0039161223346101046,-0.17781416615088053,-0.2234809222779178
Puerto Rico_Puerto Rico - Total,3,-0.7341325245506307,-0.6389917097312352,-0.8937732390934895,-0.33909030568948584,-0.48114350464849925,-0.32343819512141114,-0.37110892843279253,-0.81432069462767,0.3325939537214947,0.1416084099740425,-0.06581210849745649,-0.014891341416811612,1.0745816283574219,1.2649862559298592,1.0842027523586915,1.5201766856086216,1.4332846664999297,-0.11358891587584324,0.17393388472197074,0.21509904526659948,0.20063395337796305,1.0019213937355387,0.8569526849292434,-0.5696581706366254,-0.6297323967613379,-0.48192964895683865,0.9100796916881706,0.700903152901071,0.12404463899581679,-0.16222552807125998,-0.2857945703112265,-0.30283268803364566,-0.24319761750791655
