a_id_,ClusterID,val_CRBEC,val_FC011EC,val_FC01EC,val_FC021EC,val_FC022EC,val_FC02EC,val_FC031EC,val_FC032EC,val_FC041EC,val_FC042EC,val_FC043EC,val_FC044EC,val_FC045EC,val_FC04EC,val_FC052EC,val_FC053EC,val_FC054EC,val_FC055EC,val_FC056EC,val_FC05EC,val_FC063EC,val_FC06EC,val_FC071EC,val_FC072EC,val_FC07EC,val_FC091EC,val_FC096EC,val_FC10EC,val_FC121EC,val_FC123EC,val_FC125EC,val_FC126EC,val_FCTOTEC,val_HHPEDY000_001EC,val_HHPEDY001_002EC,val_HHPEDY002_005EC,val_HHPEDY005_007EC,val_HHPEDY007_010EC,val_HHPEDY010_020EC,val_HHPEDY020_035EC,val_HHPEDY035_070EC,val_HHPEDY070_100EC,val_HHPEDY100_150EC,val_HHPEDY150_200EC,val_HHPEDY200_250EC,val_PEDYEC,val_PEDYHHEC,val_RRBEC
Germany_DEF0A - Plön,0,2755537000.0,280330480.0,317141920.0,37655804.0,35693836.0,77524558.0,90053916.0,17148710.0,185019620.0,260614340.0,17727190.0,68600790.0,114504480.0,646687560.0,14390434.0,24469930.0,19018246.0,17474488.0,37689710.0,177188000.0,31774154.0,160926320.0,110030122.0,183062280.0,362378580.0,66192742.0,47555846.0,22293278.0,57027014.0,14227188.0,77445624.0,71701288.0,2697591000.0,2.192e-05,0.001606,5.520398,48.857268,343.17304,5861.0968,17092.339999999997,27112.620000000003,7993.547200000001,3706.8012,788.2811800000001,200.33514,3224247200.0,50979.862,1032466900.0
Germany_DEF0B - Rendsburg-Eckernförde,0,5855159400.0,570918700.0,645888180.0,79999228.0,75833414.0,164702360.0,197944960.0,37694094.0,393382360.0,554099740.0,37691974.0,145856920.0,243459060.0,1374960400.0,30611456.0,52052268.0,40455734.0,37172498.0,80174330.0,376918620.0,67619430.0,342475860.0,234041720.0,389396460.0,770809700.0,140719360.0,101089010.0,53663034.0,121326460.0,30269490.0,164772620.0,152548640.0,5731960000.0,0.000155,0.007648,17.623938000000003,136.8895,869.2278200000001,13092.454000000002,35657.31800000001,55654.83,16898.048000000003,8226.5018,1874.0634,507.77832,6856122200.0,51476.850000000006,2176383800.0
Germany_DEF0C - Schleswig-Flensburg,0,4178110800.0,418216020.0,473133640.0,57817454.0,54805842.0,119033600.0,144507240.0,27518100.0,280272340.0,394781300.0,26854006.0,103918300.0,173455680.0,979616620.0,21962868.0,37346192.0,29025886.0,26670052.0,57522716.0,270427800.0,47315896.0,239642560.0,167876540.0,279308260.0,552894899.9999999,98700166.0,70906216.0,38917694.0,85382656.0,21301732.0,115956280.0,107354500.0,4090334200.0,5.448e-05,0.003488,10.3578088,87.16763600000002,587.31428,9456.8118,26433.464,40674.398,11798.314000000002,5449.347400000001,1160.594,296.37443999999994,4829654000.0,50260.6,1563135000.0
Germany_DEF0D - Segeberg,0,5951896400.0,567521800.0,642046340.0,81823458.0,77555504.0,168450480.0,205220400.0,39079504.0,400702640.0,564439220.0,38390488.0,148570400.0,247979100.0,1400560600.0,30780620.0,52341374.0,40679528.0,37376354.0,80616252.0,378994740.0,68536220.0,347108520.0,235481580.0,391763200.0,775535820.0,144957980.0,104161194.0,59003828.0,123161860.0,30724926.0,167250320.0,154849960.0,5826393000.0,1.818e-05,0.001648,7.2264162,69.959014,531.6302400000001,10250.948,32961.038,56985.81999999999,17914.888,8613.8868,1886.9328,488.04812,6943044600.0,53430.64599999999,2202141200.0
Germany_DEF0E - Steinburg,0,2662372000.0,264465200.0,299192820.0,37168430.0,35234532.0,76523992.0,92951682.0,17700532.0,178971680.0,252083240.0,17149010.0,66358678.0,110766020.0,625542500.0,13925870.0,23679460.0,18404218.0,16911128.0,36473532.0,171471240.0,29953444.0,151711360.0,106462618.0,177139840.0,350636000.0,63228522.0,45412638.0,25865294.0,54201996.0,13523512.0,73616272.0,68152636.0,2606324800.0,7.16e-05,0.00423,11.080312,87.83922199999999,557.3451600000001,8027.669,20009.72,27030.666000000005,6901.738399999999,2904.352,561.59016,133.2841,3059184800.0,46154.992000000006,994796060.0
Germany_DEF0F - Stormarn,0,5688580200.0,528125880.0,597477820.0,75659196.0,71706802.0,155753780.0,184583920.0,35149740.0,383047580.0,539596280.0,36696320.0,142023740.0,237043500.0,1338865200.0,29091846.0,49470986.0,38447848.0,35324248.0,76192198.0,358194880.0,68343892.0,346122700.0,222686540.0,370449840.0,733381880.0,143026780.0,102800870.0,50460214.0,121180100.0,30228052.0,164543960.0,152351700.0,5568596200.0,5.734e-05,0.0033619999999999,9.6011426,81.39984,560.0629200000001,9645.526000000002,29678.194,52439.444,17724.672000000002,9280.6452,2267.6552,646.0530799999999,6837527800.0,55730.746,2089304600.0
Germany_DEG0 - Thüringen,0,38359580000.0,3684484800.0,4168299800.0,571646080.0,541981160.0,1177012600.0,1260411200.0,254760680.0,2360059200.0,3323981200.0,429163540.0,875061180.0,1597517400.0,8588719200.0,251080800.0,396429080.0,318745940.0,259543520.0,281837540.0,2893532200.0,244555460.0,1633152600.0,2036927600.0,2731606600.0,5398685200.0,797791100.0,983214100.0,235383340.0,754755020.0,197742780.0,1205610200.0,1116085000.0,37589908000.0,0.000725,0.0556999999999999,178.90636,1477.2064,9842.6568,150158.86000000002,368788.96,433164.52,84185.364,26699.742,3591.4406000000004,621.4398799999999,44200974000.0,40976.932,14722430000.0
"Germany_DEG01 - Erfurt, Kreisfreie Stadt",0,3890969800.0,360904620.0,408297340.0,58310790.0,55272456.0,120048200.0,152616720.00000003,30847580.0,237891880.0,335094240.0,43251614.0,88204438.0,161012500.0,865750700.0,24298530.0,38367180.0,30847258.0,25114976.0,27274112.0,280009580.0,24290488.0,162193160.0,197497160.0,264805620.0,523413840.0,83299192.0,102723180.0,33464872.0,75312026.0,19727858.0,120275360.0,111356080.0,3813372800.0,4.056e-05,0.00741,36.66344,296.58746,1797.179,21767.634,42369.342,41797.04,7560.2292,2414.1446,334.49942,59.371637999999976,4434226800.0,37434.02,1489086600.0
"Germany_DEG02 - Gera, Kreisfreie Stadt",0,1648745800.0,167401380.0,189382940.0,24655158.0,23376974.0,50766028.0,54370482.0,10989648.0,101347536.0,142735740.0,18430476.0,37577696.0,68603956.0,368821520.0,10433505.4,16473004.0,13245228.0,10785474.0,11711694.0,120240600.0,10439502.4,69718900.0,84743508.0,113650600.0,224609080.0,35331908.0,43534356.0,9158432.2,32282060.0,8458381.6,51569904.0,47738426.0,1615695800.0,2.806e-06,0.000924,8.305703600000001,82.025648,578.0593200000001,8415.301,18191.996000000003,18410.864,3181.536,944.6291,117.810368,18.974204,1892279400.0,37888.636,637939820.0
"Germany_DEG03 - Jena, Kreisfreie Stadt",0,2014142000.0,182608740.0,206588420.0,29902138.0,28342996.0,61560332.0,91764228.0,18547780.0,121534480.0,171198960.0,22095428.0,45061868.0,82256024.0,442297980.0,12352490.0,19504926.0,15681706.0,12767242.0,13865060.0,142345060.0,12353496.0,82483218.0,100427256.0,134647340.0,266151100.0,42687024.0,52650670.0,22706684.0,38354626.0,10046170.8,61248552.0,56709056.0,1974497800.0,0.0005464,0.03184,51.238202,282.43782,1308.4928000000002,11707.242,19677.226,19916.13,4278.3132,1677.1434000000002,304.95664,68.917136,2287431400.0,38571.542,773089760.0
